12	hou	reg	2	bal	L	-6	Mon	12/13/2010
17	min	reg	20	nyg	L	-18	Mon	12/13/2010
25	sd	reg	26	sf	W	27	Thu	12/16/2010
2	bal	reg	19	no	W	6	Sun	12/19/2010
4	car	reg	0	ari	W	7	Sun	12/19/2010
6	cin	reg	7	cle	W	2	Sun	12/19/2010
8	dal	reg	31	wsh	W	3	Sun	12/19/2010
13	ind	reg	14	jax	W	10	Sun	12/19/2010
16	mia	reg	3	buf	L	-3	Sun	12/19/2010
18	ne	reg	11	gb	W	4	Sun	12/19/2010
20	nyg	reg	23	phi	L	-7	Sun	12/19/2010
22	oak	reg	9	den	W	16	Sun	12/19/2010
24	pit	reg	21	nyj	L	-5	Sun	12/19/2010
27	sea	reg	1	atl	L	-16	Sun	12/19/2010
28	la	reg	15	kc	L	-14	Sun	12/19/2010
29	tb	reg	10	det	L	-3	Sun	12/19/2010
30	ten	reg	12	hou	W	14	Sun	12/19/2010
17	min	reg	5	chi	L	-26	Mon	12/20/2010
24	pit	reg	4	car	W	24	Thu	12/23/2010
0	ari	reg	8	dal	W	1	Sat	12/25/2010
3	buf	reg	18	ne	L	-31	Sun	12/26/2010
5	chi	reg	21	nyj	W	4	Sun	12/26/2010
6	cin	reg	25	sd	W	14	Sun	12/26/2010
7	cle	reg	2	bal	L	-10	Sun	12/26/2010
9	den	reg	12	hou	W	1	Sun	12/26/2010
11	gb	reg	20	nyg	W	28	Sun	12/26/2010
14	jax	reg	31	wsh	L	-3	Sun	12/26/2010
15	kc	reg	30	ten	W	20	Sun	12/26/2010
16	mia	reg	10	det	L	-7	Sun	12/26/2010
22	oak	reg	13	ind	L	-5	Sun	12/26/2010
28	la	reg	26	sf	W	8	Sun	12/26/2010
29	tb	reg	27	sea	W	23	Sun	12/26/2010
1	atl	reg	19	no	L	-3	Mon	12/27/2010
23	phi	reg	17	min	L	-10	Tue	12/28/2010
0	ari	reg	27	sea	W	3	Sun	1/1/2011
1	atl	reg	29	tb	W	21	Sun	1/1/2011
6	cin	reg	2	bal	L	-8	Sun	1/1/2011
7	cle	reg	24	pit	L	-4	Sun	1/1/2011
9	den	reg	15	kc	L	-4	Sun	1/1/2011
11	gb	reg	10	det	W	4	Sun	1/1/2011
12	hou	reg	30	ten	L	-1	Sun	1/1/2011
14	jax	reg	13	ind	W	6	Sun	1/1/2011
16	mia	reg	21	nyj	W	2	Sun	1/1/2011
17	min	reg	5	chi	L	-4	Sun	1/1/2011
18	ne	reg	3	buf	W	28	Sun	1/1/2011
19	no	reg	4	car	W	28	Sun	1/1/2011
20	nyg	reg	8	dal	W	17	Sun	1/1/2011
22	oak	reg	25	sd	L	-12	Sun	1/1/2011
23	phi	reg	31	wsh	W	24	Sun	1/1/2011
28	la	reg	26	sf	L	-7	Sun	1/1/2011
12	hou	post	6	cin	W	21	Sat	1/7/2011
19	no	post	10	det	W	17	Sat	1/7/2011
9	den	post	24	pit	W	6	Sun	1/8/2011
20	nyg	post	1	atl	W	22	Sun	1/8/2011
18	ne	post	9	den	W	35	Sat	1/14/2011
26	sf	post	19	no	W	4	Sat	1/14/2011
2	bal	post	12	hou	W	7	Sun	1/15/2011
11	gb	post	20	nyg	L	-17	Sun	1/15/2011
18	ne	post	2	bal	W	3	Sun	1/22/2011
26	sf	post	20	nyg	L	-3	Sun	1/22/2011
18	ne	post	20	nyg	L	-4	Sun	2/5/2011
8	dal	pre	9	den	W	1	Thu	8/11/2011
18	ne	pre	14	jax	W	35	Thu	8/11/2011
22	oak	pre	0	ari	L	-6	Thu	8/11/2011
23	phi	pre	2	bal	W	7	Thu	8/11/2011
25	sd	pre	27	sea	L	-7	Thu	8/11/2011
1	atl	pre	16	mia	L	-5	Fri	8/12/2011
10	det	pre	6	cin	W	31	Fri	8/12/2011
15	kc	pre	29	tb	L	-25	Fri	8/12/2011
19	no	pre	26	sf	W	21	Fri	8/12/2011
31	wsh	pre	24	pit	W	9	Fri	8/12/2011
4	car	pre	20	nyg	W	10	Sat	8/13/2011
5	chi	pre	3	buf	W	7	Sat	8/13/2011
7	cle	pre	11	gb	W	10	Sat	8/13/2011
28	la	pre	13	ind	W	23	Sat	8/13/2011
30	ten	pre	17	min	W	11	Sat	8/13/2011
12	hou	pre	21	nyj	W	4	Mon	8/15/2011
24	pit	pre	23	phi	W	10	Thu	8/18/2011
29	tb	pre	18	ne	L	-17	Thu	8/18/2011
